CD_PROV_REFNIS,CD_AGE,MS_POPULATION
30000,64,15220
30000,65,15217
30000,66,14353
30000,67,14260
30000,68,14387
30000,69,14463
30000,70,14101
30000,71,14363
30000,72,13010
30000,73,12532
30000,74,11730
30000,75,10090
30000,76,9320
30000,77,9588
30000,78,10522
30000,79,10353
30000,80,9729
30000,81,8917
30000,82,8333
30000,83,8068
30000,84,7431
30000,85,7129
30000,86,6511
30000,87,5704
30000,88,4829
30000,89,4010
30000,90,3283
30000,91,2846
30000,92,2358
30000,93,1840
30000,94,1387
30000,95,1024
30000,96,679
30000,97,481
30000,98,245
30000,99,114
30000,100,224
40000,0,14736
40000,1,15329
40000,2,15766
40000,3,15981
40000,4,16142
40000,5,16596
40000,6,17123
40000,7,17107
40000,8,17322
40000,9,17541
40000,10,16903
40000,11,17025
40000,12,16397
40000,13,16345
40000,14,15403
40000,15,15238
40000,16,15549
40000,17,16004
40000,18,15901
40000,19,16092
40000,20,16793
40000,21,16753
40000,22,16952
40000,23,17301
40000,24,18503
40000,25,19145
40000,26,19714
40000,27,19746
40000,28,19237
40000,29,19068
40000,30,18880
40000,31,18946
40000,32,18449
40000,33,18720
40000,34,19171
40000,35,19686
40000,36,20258
40000,37,20152
40000,38,20343
40000,39,20348
40000,40,19333
40000,41,19498
40000,42,18864
40000,43,19192
40000,44,19562
40000,45,20509
40000,46,21208
40000,47,21305
40000,48,21069
40000,49,21295
40000,50,21399
40000,51,21606
40000,52,21862
40000,53,22728
40000,54,22170
40000,55,21673
40000,56,21167
40000,57,20682
40000,58,20661
40000,59,20181
40000,60,19539
40000,61,18922
40000,62,18384
40000,63,17909
40000,64,17077
40000,65,16940
40000,66,16417
40000,67,16117
40000,68,15986
40000,69,15886
40000,70,15507
40000,71,15751
40000,72,13678
40000,73,13476
40000,74,12562
40000,75,10412
40000,76,8979
40000,77,10116
40000,78,11102
40000,79,11052
40000,80,10170
40000,81,9664
40000,82,9015
40000,83,8864
40000,84,8287
40000,85,7605
40000,86,7062
40000,87,6177
40000,88,4912
40000,89,4215
40000,90,3468
40000,91,2776
40000,92,2316
40000,93,1854
40000,94,1382
40000,95,1033
40000,96,724
40000,97,505
40000,98,254
40000,99,92
40000,100,237
50000,0,13679
50000,1,13880
50000,2,14498
50000,3,14932
50000,4,15177
50000,5,15497
50000,6,15774
50000,7,16002
50000,8,16125
50000,9,16171
50000,10,16319
50000,11,16219
50000,12,15963
50000,13,15894
50000,14,15707
50000,15,15753
50000,16,16294
50000,17,16406
50000,18,16047
50000,19,15944
50000,20,15865
50000,21,15950
50000,22,15635
50000,23,15496
50000,24,15968
50000,25,16685
50000,26,17142
50000,27,17049
50000,28,17220
50000,29,16932
50000,30,16642
50000,31,16815
50000,32,16341
50000,33,16319
50000,34,15938
50000,35,16624
50000,36,16985
50000,37,17189
50000,38,16755
50000,39,16724
50000,40,16907
50000,41,16828
50000,42,17236
50000,43,17904
50000,44,18688
50000,45,19258
50000,46,19289
50000,47,19039
50000,48,18715
50000,49,18202
50000,50,18181
50000,51,18513
50000,52,18836
50000,53,19214
50000,54,18951
50000,55,18251
50000,56,18520
50000,57,18437
50000,58,18674
50000,59,18264
50000,60,17561
50000,61,17370
50000,62,16976
50000,63,16838
50000,64,16280
50000,65,15670
50000,66,15294
50000,67,15126
50000,68,15289
50000,69,15300
50000,70,14993
50000,71,14709
50000,72,10668
50000,73,10406
50000,74,9432
50000,75,7798
50000,76,7224
50000,77,7827
50000,78,8222
50000,79,7998
50000,80,7308
50000,81,7004
50000,82,6537
50000,83,6321
50000,84,5877
50000,85,5973
50000,86,5488
