CD_PROV_REFNIS,CD_AGE,MS_POPULATION
90000,9,1210
90000,10,1252
90000,11,1095
90000,12,1180
90000,13,1232
90000,14,1152
90000,15,1116
90000,16,1160
90000,17,1305
90000,18,1228
90000,19,1313
90000,20,1381
90000,21,1464
90000,22,1397
90000,23,1565
90000,24,1516
90000,25,1744
90000,26,1701
90000,27,1656
90000,28,1734
90000,29,1573
90000,30,1592
90000,31,1498
90000,32,1439
90000,33,1403
90000,34,1473
90000,35,1383
90000,36,1401
90000,37,1422
90000,38,1387
90000,39,1354
90000,40,1377
90000,41,1336
90000,42,1323
90000,43,1379
90000,44,1336
90000,45,1354
90000,46,1412
90000,47,1382
90000,48,1399
90000,49,1392
90000,50,1416
90000,51,1336
90000,52,1442
90000,53,1497
90000,54,1444
90000,55,1406
90000,56,1531
90000,57,1451
90000,58,1476
90000,59,1458
90000,60,1444
90000,61,1466
90000,62,1343
90000,63,1336
90000,64,1441
90000,65,1387
90000,66,1259
90000,67,1367
90000,68,1259
90000,69,1325
90000,70,1311
90000,71,1311
90000,72,979
90000,73,833
90000,74,768
90000,75,700
90000,76,655
90000,77,802
90000,78,784
90000,79,761
90000,80,659
90000,81,679
90000,82,568
90000,83,577
90000,84,535
90000,85,551
90000,86,486
90000,87,477
90000,88,391
90000,89,319
90000,90,251
90000,91,222
90000,92,207
90000,93,151
90000,94,117
90000,95,91
90000,96,69
90000,97,38
90000,98,37
90000,99,19
90000,100,28
