id,province,population,x_coord,y_coord,latitude,longitude,name
41081,4,26373,110851.84325,173376.43975,50.871073015,3.810389245,ZOTTEGEM
41082,4,19857,120959.61952830199,179452.618867925,50.9234240735849,3.9551453622641497,ERPE - MERE-MERE
42003,4,14849,122568.02769230801,192048.6625,51.053943303846204,3.99488903846154,BERLARE
42004,4,14475,137920.12878787902,189449.16606060602,51.013676399999994,4.2011261,BUGGENHOUT
42006,4,45673,130935.180403226,190869.199919355,51.0270769741935,4.09951408387097,DENDERMONDE
42008,4,24829,133678.454333333,196983.0025,51.083921213333305,4.1443919133333305,HAMME
42010,4,12487,115898.5815,192379.3915,51.03438955,3.88597895,LAARNE
42011,4,19195,132802.062954545,187217.07272727301,50.997646845454504,4.11601398181818,LEBBEKE
42023,4,10768,129836.95666666699,200796.357333333,51.109461100000004,4.0844742,WAASMUNSTER
42025,4,25477,115386.66047619,187550.282261905,50.9981815571429,3.88601201428571,WETTEREN
42026,4,11578,120524.427647059,187997.17176470603,51.004688894117606,3.94041428235294,WICHELEN
42028,4,20976,126565.49227272699,195390.453636364,51.10234129999999,3.9940663,ZELE
43002,4,14200,103924.464901961,213837.040588235,51.231109070588204,3.71436938823529,ASSENEDE
43005,4,20890,93138.12238095241,209072.882857143,51.2046849,3.4868397000000004,EEKLO
43007,4,6429,98150.74375,211108.54,51.2066899,3.6252572,KAPRIJKE
43010,4,23689,86126.8485135135,211366.21472973,51.2050524054054,3.48332214324324,MALDEGEM
43014,4,6684,94194.4046666667,217020.97600000002,51.2687639866667,3.5691262266666697,SINT-LAUREINS
43018,4,12699,110780.50125,210115.9353125,51.1987114,3.8119772000000003,ZELZATE
44001,4,20548,85327.9755769231,197657.3775,51.0809487923077,3.45586583076923,AALTER
44011,4,31085,90893.227755102,186746.587755102,50.9913404816327,3.5302163918367304,DEINZE
44012,4,10532,100834.495,186179.108125,50.98157445,3.6824476,DE PINTE
44013,4,18026,110452.959,192636.9902,51.04630278,3.8008488760000003,DESTELBERGEN
44019,4,35239,104561.34893939401,203752.306919192,51.1389861090909,3.71619817272727,EVERGEM
